visit_grid,avg_ses_2403,avg_ses_1903
78108,11,54
78109,30,30
78110,34,32
78111,24,19
78112,18,19
78114,9,53
78115,20,29
78116,29,24
78117,13,33
78118,12,32
78119,23,19
78120,31,18
78817,17,15
78818,18,24
78819,22,18
78820,50,13
78821,16,39
78822,9,42
78823,50,36
78824,39,39
78825,23,36
78826,28,21
78827,48,18
78828,15,24
78829,26,12
78830,24,45
78831,15,40
78832,22,25
78833,32,10
78834,16,9
78835,33,36
78836,28,19
78837,12,30
78838,36,21
78839,22,28
78840,15,33
78841,31,25
79516,62,25
79517,38,40
79518,34,30
79519,29,33
79520,14,33
79521,36,32
79522,53,28
79523,41,30
79524,63,35
79525,43,25
79526,55,24
79527,17,12
79528,33,6
79529,31,7
79530,25,10
79531,29,23
79532,47,35
79533,33,26
79534,55,8
79535,60,40
79536,40,31
79537,22,51
79538,16,43
79539,17,43
79540,29,41
79541,5,16
79542,23,21
79543,10,34
79544,16,27
79545,26,36
79546,31,18
79547,10,12
79548,22,8
79549,8,9
79550,38,10
79551,22,30
79552,24,9
79553,9,15
79554,16,20
79555,21,27
79556,33,20
79557,28,23
80203,34,23
80204,21,26
80205,25,27
80206,21,17
80207,10,7
80208,25,52
80209,18,17
80210,16,11
80211,30,24
80212,23,17
80213,18,14
80214,20,30
80215,11,15
80216,22,36
80217,16,45
80218,22,31
80219,25,29
80220,30,22
80221,31,17
80222,35,20
80223,54,35
80224,26,26
80225,26,6
80226,32,37
80227,29,15
80228,20,13
80229,16,30
80230,50,21
80231,35,42
80232,18,26
80233,17,32
80234,19,26
80235,35,14
80236,38,26
80237,28,29
80238,44,35
80239,35,9
80240,31,13
80241,17,4
80242,20,16
80243,29,6
80244,30,11
80245,39,20
80247,8,18
80248,30,20
80249,17,29
80250,29,27
80251,39,36
80252,29,40
80253,24,22
80254,17,28
80256,30,35
80257,41,37
80258,39,30
80259,30,32
80260,16,21
80261,30,9
80262,43,23
80263,28,23
80264,15,26
80265,14,37
80266,26,29
80267,23,21
80268,25,9
80269,18,22
80270,20,20
80271,18,15
80272,18,29
80273,23,30
80913,13,15
80914,27,36
80915,15,21
80916,19,9
80917,24,47
80918,36,25
80919,27,27
80920,6,31
80921,17,18
80922,19,21
80923,14,20
80924,11,21
80925,11,25
80926,15,42
80927,15,43
80928,21,45
80929,19,12
80930,16,36
80931,33,10
80932,8,36
80933,48,5
80934,37,7
80935,35,25
80936,33,7
80937,22,49
80938,43,38
80939,14,23
80940,26,22
80941,40,15
80942,12,27
80943,12,5
80944,24,27
80945,18,24
80946,31,33
80947,11,26
80948,13,28
80949,31,15
80950,27,14
80951,27,18
80952,18,17
80953,28,14
80954,19,20
80955,10,25
80956,60,26
80957,11,17
80959,48,13
80962,30,32
80963,31,38
80964,30,27
80965,32,76
80966,45,28
80967,13,21
80968,39,31
80971,26,64
80972,27,32
80973,61,25
80974,26,7
80975,50,19
80976,34,16
80977,26,18
80978,25,33
80979,45,34
80980,12,34
80981,41,25
80982,53,27
80983,17,20
80984,19,16
80985,16,26
80986,23,25
80987,18,22
80988,46,17
80989,22,19
80990,22,20
80991,33,26
81626,20,37
81627,20,34
81628,17,26
81629,26,13
81630,21,36
81631,34,14
81632,25,27
81633,25,25
81634,20,35
81635,20,22
81636,15,20
81637,8,60
81638,27,25
81639,9,41
81640,19,27
81641,19,25
81642,27,21
81643,11,22
81644,12,29
81645,9,29
81646,26,23
81647,16,30
81648,6,36
81649,28,26
81650,32,29
81651,20,36
81652,19,54
81653,34,26
81654,30,36
81655,13,23
81656,43,35
81657,41,28
81658,22,31
81659,20,16
81660,15,29
81661,48,29
81662,13,26
81663,19,17
81664,22,17
81665,48,41
81666,19,20
81667,28,23
81668,22,23
81669,49,18
81670,23,14
81671,8,5
81672,13,8
81673,27,20
81674,26,44
81675,24,23
81676,33,39
81677,14,34
81678,60,33
81679,8,73
81680,16,33
81681,27,32
81682,29,38
81683,24,24
81684,53,37
81685,48,7
81686,42,18
81687,15,21
81688,39,10
81689,27,17
81690,30,15
81691,23,22
81692,36,29
81693,20,33
81694,36,22
81695,37,15
81696,25,19
81697,23,11
81698,30,21
81699,22,21
81700,25,28
81701,17,25
81702,19,23
81703,17,18
81704,18,22
81705,25,22
81706,25,36
81707,31,27
81708,38,23
81709,21,27
81710,23,28
82339,16,30
82340,29,10
82341,55,26
82342,36,26
82343,8,15
82344,49,21
82345,28,24
82346,19,26
82347,19,40
82348,31,34
82349,23,14
82350,13,14
82351,16,30
82352,20,28
82353,17,19
82354,12,22
82355,13,29
82356,24,13
82357,10,15
82358,21,17
82359,22,23
82360,12,22
82361,28,28
82362,27,32
82363,22,23
82364,35,18
82365,20,32
82366,53,22
82367,40,19
82368,38,29
82369,13,26
82370,14,31
82371,28,22
82372,44,32
82373,21,46
82374,25,26
82375,11,28
82376,24,47
82377,44,20
